=================================================================
# Hyperparameter Tuning Run  --  2026-05-25 01:42:32.935485
# Sweep: alpha / gamma / softmax_lambda
# Reward shaping: locked to defaults
# Configs total: 10  |  To run: 10  |  Skipped (done): 0
# Training battles per config : 8000
# Eval battles per config     : 500
=================================================================

>>> Config 1/10: baseline

=================================================================
[baseline]  alpha=0.1  gamma=0.95  lambda=1.0
  reward shaping: locked to defaults {'k_d': 40.0, 'k_t': 30.0, 'KO_bonus': 20.0, 'faint_penalty': 20.0, 'status_bonus': 5.0, 'time_penalty': 0.1, 'w_hp': 1.0, 'w_alive': 8.0, 'w_type': 2.0}
=================================================================
  [TRAIN] Starting 8000 battles...
    [  300/8000]  win=85.3%  states=3468  t=41s
    [  400/8000]  win=85.5%  states=3997  t=49s
    [  500/8000]  win=85.6%  states=4434  t=58s
    [  600/8000]  win=86.5%  states=4777  t=66s
    [  700/8000]  win=86.8%  states=5116  t=75s
    [  800/8000]  win=87.2%  states=5405  t=84s
    [  900/8000]  win=87.3%  states=5692  t=93s
    [ 1000/8000]  win=87.7%  states=5947  t=101s
    [ 1100/8000]  win=87.8%  states=6140  t=111s
    [ 1200/8000]  win=87.1%  states=6369  t=119s
    [ 1300/8000]  win=87.4%  states=6532  t=128s
    [ 1400/8000]  win=87.7%  states=6681  t=136s
    [ 1500/8000]  win=87.9%  states=6812  t=145s
    [ 1600/8000]  win=87.7%  states=6959  t=155s
    [ 1700/8000]  win=88.1%  states=7056  t=163s
    [ 1800/8000]  win=88.2%  states=7155  t=172s
    [ 1900/8000]  win=88.5%  states=7263  t=181s
    [ 2000/8000]  win=88.5%  states=7350  t=188s
    [ 2100/8000]  win=88.7%  states=7425  t=196s
    [ 2200/8000]  win=88.8%  states=7531  t=207s
    [ 2300/8000]  win=89.0%  states=7609  t=216s
    [ 2400/8000]  win=88.9%  states=7674  t=224s
    [ 2500/8000]  win=88.9%  states=7755  t=233s
    [ 2600/8000]  win=88.9%  states=7806  t=242s
    [ 2700/8000]  win=89.0%  states=7873  t=250s
    [ 2800/8000]  win=89.0%  states=7952  t=258s
    [ 2900/8000]  win=89.1%  states=8011  t=267s
    [ 3000/8000]  win=89.1%  states=8063  t=276s
    [ 3100/8000]  win=89.2%  states=8116  t=285s
    [ 3200/8000]  win=89.2%  states=8161  t=293s
    [ 3300/8000]  win=89.3%  states=8211  t=302s
    [ 3400/8000]  win=89.3%  states=8255  t=310s
    [ 3500/8000]  win=89.4%  states=8290  t=318s
    [ 3600/8000]  win=89.6%  states=8342  t=327s
    [ 3700/8000]  win=89.4%  states=8409  t=336s
    [ 3800/8000]  win=89.4%  states=8457  t=344s
    [ 3900/8000]  win=89.5%  states=8498  t=352s
    [ 4000/8000]  win=89.6%  states=8540  t=360s
    [ 4100/8000]  win=89.5%  states=8587  t=370s
    [ 4200/8000]  win=89.7%  states=8617  t=378s
    [ 4300/8000]  win=89.6%  states=8671  t=387s
    [ 4400/8000]  win=89.7%  states=8713  t=395s
    [ 4500/8000]  win=89.7%  states=8750  t=404s
    [ 4600/8000]  win=89.8%  states=8780  t=413s
    [ 4700/8000]  win=89.8%  states=8814  t=433s
    [ 4800/8000]  win=89.8%  states=8828  t=440s
    [ 4900/8000]  win=89.7%  states=8865  t=450s
    [ 5000/8000]  win=89.8%  states=8881  t=458s
    [ 5100/8000]  win=89.7%  states=8906  t=466s
    [ 5200/8000]  win=89.8%  states=8938  t=475s
    [ 5300/8000]  win=89.8%  states=8959  t=483s
    [ 5400/8000]  win=89.8%  states=8987  t=491s
    [ 5500/8000]  win=89.8%  states=9012  t=499s
    [ 5600/8000]  win=89.9%  states=9040  t=509s
    [ 5700/8000]  win=89.9%  states=9077  t=518s
    [ 5800/8000]  win=90.0%  states=9094  t=526s
    [ 5900/8000]  win=90.0%  states=9124  t=534s
    [ 6000/8000]  win=90.0%  states=9150  t=543s
    [ 6100/8000]  win=90.0%  states=9165  t=551s
    [ 6200/8000]  win=90.1%  states=9183  t=559s
    [ 6300/8000]  win=90.1%  states=9208  t=567s
    [ 6400/8000]  win=90.1%  states=9230  t=576s
    [ 6500/8000]  win=90.2%  states=9243  t=585s
    [ 6600/8000]  win=90.3%  states=9254  t=594s
    [ 6700/8000]  win=90.3%  states=9281  t=603s
    [ 6800/8000]  win=90.3%  states=9295  t=611s
    [ 6900/8000]  win=90.3%  states=9320  t=619s
    [ 7000/8000]  win=90.3%  states=9332  t=627s
    [ 7100/8000]  win=90.2%  states=9362  t=636s
    [ 7200/8000]  win=90.2%  states=9376  t=644s
    [ 7300/8000]  win=90.3%  states=9387  t=652s
    [ 7400/8000]  win=90.3%  states=9394  t=661s
    [ 7500/8000]  win=90.4%  states=9406  t=670s
    [ 7600/8000]  win=90.4%  states=9417  t=678s
    [ 7700/8000]  win=90.3%  states=9422  t=687s
    [ 7800/8000]  win=90.3%  states=9440  t=695s
    [ 7900/8000]  win=90.4%  states=9449  t=705s
    [ 8000/8000]  win=90.4%  states=9459  t=713s
  [TRAIN DONE]  win=90.4%  states=9459  time=713.2s
  [EVAL]  Running 500 greedy battles...
  [EVAL DONE]  win=96.8%  (484/500)

  Saved -> C:\Users\jonat\OneDrive\Documents\university\smt6\ai\q-learning-pokemon-battle\src\..\results\tuning_results.csv

>>> Config 4/10: lam_5.0

=================================================================
[lam_5.0]  alpha=0.1  gamma=0.95  lambda=5.0
  reward shaping: locked to defaults {'k_d': 40.0, 'k_t': 30.0, 'KO_bonus': 20.0, 'faint_penalty': 20.0, 'status_bonus': 5.0, 'time_penalty': 0.1, 'w_hp': 1.0, 'w_alive': 8.0, 'w_type': 2.0}
=================================================================
  [TRAIN] Starting 8000 battles...
    [  100/8000]  win=91.0%  states=1635  t=11s
    [  200/8000]  win=88.0%  states=2546  t=19s
    [  300/8000]  win=90.0%  states=3141  t=27s
    [  400/8000]  win=90.2%  states=3697  t=35s
    [  500/8000]  win=89.8%  states=4103  t=44s
    [  600/8000]  win=90.0%  states=4515  t=54s
    [  700/8000]  win=90.4%  states=4835  t=62s
    [  800/8000]  win=90.9%  states=5092  t=70s
    [  900/8000]  win=90.6%  states=5364  t=78s
    [ 1000/8000]  win=90.7%  states=5595  t=86s
    [ 1100/8000]  win=91.0%  states=5779  t=95s
    [ 1200/8000]  win=91.2%  states=5950  t=103s
    [ 1300/8000]  win=90.7%  states=6080  t=111s
    [ 1400/8000]  win=90.6%  states=6250  t=119s
    [ 1500/8000]  win=90.4%  states=6381  t=127s
    [ 1600/8000]  win=90.6%  states=6500  t=135s
    [ 1700/8000]  win=90.7%  states=6597  t=143s
    [ 1800/8000]  win=90.8%  states=6714  t=151s
    [ 1900/8000]  win=90.7%  states=6834  t=175s
    [ 2000/8000]  win=90.8%  states=6929  t=183s
    [ 2100/8000]  win=90.9%  states=7001  t=191s
    [ 2200/8000]  win=91.2%  states=7063  t=199s
    [ 2300/8000]  win=91.2%  states=7133  t=207s
    [ 2400/8000]  win=91.3%  states=7191  t=215s
    [ 2500/8000]  win=91.2%  states=7271  t=224s
